url;clearurl;name;shortname;id;vendor;vendorCode;price;oldprice;picture;serie;avaible;groupName;keyPhrases;mainTitle;subTitle;text;suburl;API_Error
https://ad.admitad.com/g/dra8qamlvk037e654884d22e56a5b7/?f_id=18282&ulp=https%3A%2F%2Fsantehmoll.ru%2Fproduct%2Fe211601%2F%3Futm_source%3Dadmitad%26utm_medium%3Dpartner-network&i=5;https://santehmoll.ru/product/e211601/;Комплект подвесной унитаз E047901 + E772401 + система инсталляции R020467 Ideal Standard Prosys Connect AquaBlade E211601;Комплект;740545;Ideal Standard;E211601;45877;Don't exist 'oldprice';https://santehmoll.ru/wa-data/public/shop/products/45/05/740545/images/380423/380423.970.jpg;Connect;В наличии;_740545_Комплект подвесной унитаз E047901 + E772401 + система инсталляции R020467 Ideal Standard Prosys Connect AquaBlade E211601;['Ideal Standard E211601', 'E211601', 'Connect E211601', 'Комплект E211601'];['Комплект Connect E211601', 'Комплект Ideal Standard E211601'];['В Наличии. Доставка', 'Быстрая доставка. В Наличии'];Error! Ad's text is too long;#Ideal-Standard#;None
https://ad.admitad.com/g/dra8qamlvk037e654884d22e56a5b7/?f_id=18282&ulp=https%3A%2F%2Fsantehmoll.ru%2Fproduct%2Fpromo_komplekt_4_v_1_ideal_standard_s_podvesnym_unitazom_e005401_connect_air_aquablade_s_sidenem_i%2F%3Futm_source%3Dadmitad%26utm_medium%3Dpartner-network&i=5;https://santehmoll.ru/product/promo_komplekt_4_v_1_ideal_standard_s_podvesnym_unitazom_e005401_connect_air_aquablade_s_sidenem_i/;Комплект подвесной унитаз E005401 + E036601 + система инсталляции R020467 + R0115AA Ideal Standard Prosys Connect Air R031001;Комплект;852203;Ideal Standard;R031001;57560;Don't exist 'oldprice';https://santehmoll.ru/wa-data/public/shop/products/03/22/852203/images/620063/620063.970.jpg;Connect Air;Под заказ;_852203_Комплект подвесной унитаз E005401 + E036601 + система инсталляции R020467 + R0115AA Ideal Standard Prosys Connect Air R031001;['Ideal Standard R031001', 'R031001', 'Connect Air R031001', 'Комплект R031001'];['Комплект Connect Air R031001', 'Комплект Ideal Standard R031001'];['В Наличии. Доставка', 'Быстрая доставка. В Наличии'];Error! Ad's text is too long;#Ideal-Standard#;None
https://ad.admitad.com/g/dra8qamlvk037e654884d22e56a5b7/?f_id=18282&ulp=https%3A%2F%2Fsantehmoll.ru%2Fproduct%2Fdushevoy_ugolok_rgw_pa_73_pa_13_z_050_2_21%2F%3Futm_source%3Dadmitad%26utm_medium%3Dpartner-network&i=5;https://santehmoll.ru/product/dushevoy_ugolok_rgw_pa_73_pa_13_z_050_2_21/;Душевой уголок 150х100 см RGW PA-73 (PA-13+Z-050-2) Passage 060873150-011 прозрачное;Душевой уголок;855118;RGW;060873150-011;46409;Don't exist 'oldprice';https://santehmoll.ru/wa-data/public/shop/products/18/51/855118/images/674703/674703.970.jpg;Passage;В наличии;_855118_Душевой уголок 150х100 см RGW PA-73 (PA-13+Z-050-2) Passage 060873150-011 прозрачное;['RGW 060873150-011', '060873150-011', 'Passage 060873150-011', 'Душевой уголок 060873150-011'];['Душевой уголок Passage 060873150-011', 'Душевой уголок RGW 060873150-011'];['В Наличии. Доставка', 'Быстрая доставка. В Наличии'];['Душевой уголок 150х100 см RGW PA-73 (PA-13+Z-050-2) 060873150-011 прозрачное', 'Душевой уголок RGW Passage 060873150-011'];#RGW#;Error! Fail to create new Ad's group
https://ad.admitad.com/g/dra8qamlvk037e654884d22e56a5b7/?f_id=18282&ulp=https%3A%2F%2Fsantehmoll.ru%2Fproduct%2Fset2536090000_1_komplekt_duravit_durastyle_2536090000_0063790000_38772001%2F%3Futm_source%3Dadmitad%26utm_medium%3Dpartner-network&i=5;https://santehmoll.ru/product/set2536090000_1_komplekt_duravit_durastyle_2536090000_0063790000_38772001/;Комплект подвесной унитаз Duravit Durastyle 2536090000 + 0063790000 + система инсталляции Grohe 38772001;Комплект;632173;Duravit;SET2536090000/1;65520;68970;https://santehmoll.ru/wa-data/public/shop/products/73/21/632173/images/280616/280616.970.jpg;DuraStyle;В наличии;_632173_Комплект подвесной унитаз Duravit Durastyle 2536090000 + 0063790000 + система инсталляции Grohe 38772001;['Duravit SET2536090000-1', 'SET2536090000-1', 'DuraStyle SET2536090000-1', 'Комплект SET2536090000-1'];['Комплект DuraStyle SET2536090000-1', 'Комплект Duravit SET2536090000-1'];['В Наличии. Доставка', 'Быстрая доставка. В Наличии'];Error! Ad's text is too long;#Duravit#;None
https://ad.admitad.com/g/dra8qamlvk037e654884d22e56a5b7/?f_id=18282&ulp=https%3A%2F%2Fsantehmoll.ru%2Fproduct%2Fset5614r2r1_1_komplekt_villeroy_boch_avento_5614r2r1_38772001%2F%3Futm_source%3Dadmitad%26utm_medium%3Dpartner-network&i=5;https://santehmoll.ru/product/set5614r2r1_1_komplekt_villeroy_boch_avento_5614r2r1_38772001/;Комплект подвесной унитаз Villeroy & Boch Subway 2.0 5614R2R1 + система инсталляции Grohe 38772001;Комплект;632051;Villeroy Boch;SET5614R2R1/1;84830;87600;https://santehmoll.ru/wa-data/public/shop/products/51/20/632051/images/276774/276774.970.jpg;Subway 2.0;В наличии;_632051_Комплект подвесной унитаз Villeroy & Boch Subway 2.0 5614R2R1 + система инсталляции Grohe 38772001;['Villeroy Boch SET5614R2R1-1', 'SET5614R2R1-1', 'Subway 2.0 SET5614R2R1-1', 'Комплект SET5614R2R1-1'];['Комплект Subway 2.0 SET5614R2R1-1', 'Комплект Villeroy & Boch SET5614R2R1-1'];['В Наличии. Доставка', 'Быстрая доставка. В Наличии'];Error! Ad's text is too long;#Villeroy-Boch#;None
https://ad.admitad.com/g/dra8qamlvk037e654884d22e56a5b7/?f_id=18282&ulp=https%3A%2F%2Fsantehmoll.ru%2Fproduct%2Fset5614r2r1_6_komplekt_villeroy_boch_subway_20_5614r2r1_458125211%2F%3Futm_source%3Dadmitad%26utm_medium%3Dpartner-network&i=5;https://santehmoll.ru/product/set5614r2r1_6_komplekt_villeroy_boch_subway_20_5614r2r1_458125211/;Комплект подвесной унитаз Villeroy & Boch Subway 2.0 5614R2R1 + система инсталляции Geberit 458.125.21.1;Комплект;632056;Villeroy Boch;SET5614R2R1/6;98340;101100;https://santehmoll.ru/wa-data/public/shop/products/56/20/632056/images/276835/276835.970.jpg;Subway 2.0;В наличии;_632056_Комплект подвесной унитаз Villeroy & Boch Subway 2.0 5614R2R1 + система инсталляции Geberit 458.125.21.1;['Villeroy Boch SET5614R2R1-6', 'SET5614R2R1-6', 'Subway 2.0 SET5614R2R1-6', 'Комплект SET5614R2R1-6'];['Комплект Subway 2.0 SET5614R2R1-6', 'Комплект Villeroy & Boch SET5614R2R1-6'];['В Наличии. Доставка', 'Быстрая доставка. В Наличии'];Error! Ad's text is too long;#Villeroy-Boch#;None
https://ad.admitad.com/g/dra8qamlvk037e654884d22e56a5b7/?f_id=18282&ulp=https%3A%2F%2Fsantehmoll.ru%2Fproduct%2Fset5614r2r1_7_komplekt_villeroy_boch_subway_20_5614r2r1_458125111%2F%3Futm_source%3Dadmitad%26utm_medium%3Dpartner-network&i=5;https://santehmoll.ru/product/set5614r2r1_7_komplekt_villeroy_boch_subway_20_5614r2r1_458125111/;Комплект подвесной унитаз Villeroy & Boch Subway 2.0 5614R2R1 + система инсталляции Geberit 458.125.11.1;Комплект;632057;Villeroy Boch;SET5614R2R1/7;93120;95400;https://santehmoll.ru/wa-data/public/shop/products/57/20/632057/images/276931/276931.970.jpg;Subway 2.0;В наличии;_632057_Комплект подвесной унитаз Villeroy & Boch Subway 2.0 5614R2R1 + система инсталляции Geberit 458.125.11.1;['Villeroy Boch SET5614R2R1-7', 'SET5614R2R1-7', 'Subway 2.0 SET5614R2R1-7', 'Комплект SET5614R2R1-7'];['Комплект Subway 2.0 SET5614R2R1-7', 'Комплект Villeroy & Boch SET5614R2R1-7'];['В Наличии. Доставка', 'Быстрая доставка. В Наличии'];Error! Ad's text is too long;#Villeroy-Boch#;None
https://ad.admitad.com/g/dra8qamlvk037e654884d22e56a5b7/?f_id=18282&ulp=https%3A%2F%2Fsantehmoll.ru%2Fproduct%2Fset5614r2r1_5_komplekt_villeroy_boch_subway_20_5614r2r1_111362005%2F%3Futm_source%3Dadmitad%26utm_medium%3Dpartner-network&i=5;https://santehmoll.ru/product/set5614r2r1_5_komplekt_villeroy_boch_subway_20_5614r2r1_111362005/;Комплект подвесной унитаз Villeroy & Boch Subway 2.0 5614R2R1 + система инсталляции Geberit 111.362.00.5;Комплект;632055;Villeroy Boch;SET5614R2R1/5;94450;97280;https://santehmoll.ru/wa-data/public/shop/products/55/20/632055/images/276810/276810.970.jpg;Subway 2.0;В наличии;_632055_Комплект подвесной унитаз Villeroy & Boch Subway 2.0 5614R2R1 + система инсталляции Geberit 111.362.00.5;['Villeroy Boch SET5614R2R1-5', 'SET5614R2R1-5', 'Subway 2.0 SET5614R2R1-5', 'Комплект SET5614R2R1-5'];['Комплект Subway 2.0 SET5614R2R1-5', 'Комплект Villeroy & Boch SET5614R2R1-5'];['В Наличии. Доставка', 'Быстрая доставка. В Наличии'];Error! Ad's text is too long;#Villeroy-Boch#;None
https://ad.admitad.com/g/dra8qamlvk037e654884d22e56a5b7/?f_id=18282&ulp=https%3A%2F%2Fsantehmoll.ru%2Fproduct%2F5614r2r1_111362005_115770215%2F%3Futm_source%3Dadmitad%26utm_medium%3Dpartner-network&i=5;https://santehmoll.ru/product/5614r2r1_111362005_115770215/;Комплект подвесной унитаз Villeroy & Boch Subway 2.0 5614R2R1 + система инсталляции Geberit 111.362.00.5 + 115.770.21.5;Комплект;902075;Villeroy Boch;SET5614R2R1/25;101390;104525;https://santehmoll.ru/wa-data/public/shop/products/75/20/902075/images/550607/550607.970.jpg;Subway 2.0;В наличии;_902075_Комплект подвесной унитаз Villeroy & Boch Subway 2.0 5614R2R1 + система инсталляции Geberit 111.362.00.5 + 115.770.21.5;['Villeroy Boch SET5614R2R1-25', 'SET5614R2R1-25', 'Subway 2.0 SET5614R2R1-25', 'Комплект SET5614R2R1-25'];['Комплект Subway 2.0 SET5614R2R1-25', 'Комплект Villeroy & Boch SET5614R2R1-25'];['В Наличии. Доставка', 'Быстрая доставка. В Наличии'];Error! Ad's text is too long;#Villeroy-Boch#;None
https://ad.admitad.com/g/dra8qamlvk037e654884d22e56a5b7/?f_id=18282&ulp=https%3A%2F%2Fsantehmoll.ru%2Fproduct%2Fset5614r2r1_22%2F%3Futm_source%3Dadmitad%26utm_medium%3Dpartner-network&i=5;https://santehmoll.ru/product/set5614r2r1_22/;Комплект подвесной унитаз Villeroy & Boch Subway 2.0 5614R2R1 + система инсталляции Geberit 111.362.00.5 + 115.770.DW.5;Комплект;801020;Villeroy Boch;SET5614R2R1/22;104170;109655;https://santehmoll.ru/wa-data/public/shop/products/20/10/801020/images/461492/461492.970.jpg;Subway 2.0;В наличии;_801020_Комплект подвесной унитаз Villeroy & Boch Subway 2.0 5614R2R1 + система инсталляции Geberit 111.362.00.5 + 115.770.DW.5;['Villeroy Boch SET5614R2R1-22', 'SET5614R2R1-22', 'Subway 2.0 SET5614R2R1-22', 'Комплект SET5614R2R1-22'];['Комплект Subway 2.0 SET5614R2R1-22', 'Комплект Villeroy & Boch SET5614R2R1-22'];['В Наличии. Доставка', 'Быстрая доставка. В Наличии'];Error! Ad's text is too long;#Villeroy-Boch#;None
